date,close,volume,open,high,low
05/05/2026,723.77,36933230,721.77,725.04,721.4898
05/04/2026,718.01,51950560,720.07,722.12,714.99
05/01/2026,720.65,43049850,721.25,724.87,720.47
04/30/2026,718.66,67240950,714.63,719.79,710.445
04/29/2026,711.58,41859230,711.00,712.20,708.37
04/28/2026,711.69,43117440,711.815,712.88,709.25
04/27/2026,715.17,33135940,713.17,715.63,712.295
04/24/2026,713.94,45181960,710.75,714.47,709.01
04/23/2026,708.45,56173990,709.50,712.3598,702.2803
04/22/2026,711.21,42518500,709.15,711.45,708.22
04/21/2026,704.08,58941380,710.28,711.275,702.64
04/17/2026,710.14,9999999,706.14,712.39,705.76
04/16/2026,701.66,49972360,701.06,702.78,698.53
04/15/2026,699.94,58240380,695.26,700.28,694.20
04/14/2026,694.46,63480530,687.69,694.58,687.66
04/13/2026,686.10,54185820,677.41,686.30,676.58
04/10/2026,679.46,42253460,681.32,682.03,678.45
04/09/2026,679.91,57134450,674.84,681.16,673.77
04/08/2026,676.01,93606110,676.39,677.08,671.46
04/07/2026,659.22,69980360,656.65,659.61,651.06
04/06/2026,658.93,39105760,655.86,659.72,655.52
04/02/2026,655.83,68358710,646.42,658.20,645.11
04/01/2026,655.24,97841470,653.90,658.52,653.00
03/31/2026,650.34,152534100,638.94,651.54,637.98
03/30/2026,631.97,99275850,640.11,640.37,629.28
03/27/2026,634.09,103649400,642.50,642.66,633.105
03/26/2026,645.09,96494380,652.06,654.85,644.82
03/25/2026,656.82,90653790,658.67,660.89,654.24
03/24/2026,653.18,96457480,651.32,657.03,649.88
03/23/2026,655.38,134802700,658.07,662.615,653.94
03/20/2026,648.57,163617500,656.51,656.69,644.72
03/19/2026,659.80,111272500,656.97,662.98,655.17
03/18/2026,661.43,82062580,668.36,669.72,661.19
03/17/2026,670.79,87128040,672.39,674.44,669.70
03/16/2026,669.03,82023130,668.38,672.07,667.12
03/13/2026,662.29,97200240,669.27,672.335,661.36
03/12/2026,666.06,108882200,671.16,671.65,665.87
03/11/2026,676.33,68441670,677.58,680.08,673.34
03/10/2026,677.18,81505320,677.72,683.36,674.76
03/09/2026,678.27,102667700,666.39,679.92,662.39
03/06/2026,672.38,100687000,673.41,676.11,669.76
03/05/2026,681.31,106606500,682.08,685.53,675.61
03/04/2026,685.13,79182240,681.63,687.09,679.62
03/03/2026,680.33,105003100,675.06,682.61,669.66
03/02/2026,686.38,87477200,678.70,688.62,678.02
02/27/2026,685.99,83308870,683.09,686.86,681.64
02/26/2026,689.30,71670990,693.28,693.30,684.35
02/25/2026,693.15,56369480,690.18,693.68,690.10
02/24/2026,687.35,73798730,681.90,688.35,680.00
02/23/2026,682.39,90558090,687.83,690.00,680.371
02/20/2026,689.43,100034000,682.32,690.06,681.73
02/19/2026,684.48,58649360,683.84,686.18,681.5475
02/18/2026,686.29,73570340,684.02,689.15,682.83
02/17/2026,682.85,81354660,680.14,684.94,675.78
02/13/2026,681.75,96267490,681.69,686.28,677.52
02/12/2026,681.27,118829000,694.24,695.35,680.37
02/11/2026,691.96,76353870,696.39,697.14,689.18
02/10/2026,692.12,65185730,694.95,696.54,691.66
02/09/2026,693.95,73885190,689.42,695.87,688.34
02/06/2026,690.62,89127570,681.46,692.31,680.85
02/05/2026,677.62,113610800,680.94,683.69,675.79
02/04/2026,686.19,105204600,690.35,691.45,681.76
02/03/2026,689.53,107904600,696.21,696.96,684.03
02/02/2026,695.41,79286520,689.58,696.93,689.425
01/30/2026,691.97,101835100,691.79,694.21,687.12
01/29/2026,694.04,97486200,696.39,697.06,684.83
01/28/2026,695.42,61172170,697.05,697.84,693.94
01/27/2026,695.49,55506150,694.18,696.53,693.57
01/26/2026,692.73,60473810,690.49,694.13,689.92
01/23/2026,689.23,63059580,688.15,690.96,687.16
01/22/2026,688.98,77112240,689.85,691.125,686.92
01/21/2026,685.40,127844500,679.65,688.735,678.13
01/20/2026,677.58,111623300,681.49,684.77,676.57
01/16/2026,691.66,79289200,693.66,694.25,690.10
01/15/2026,692.24,77861970,694.57,695.45,691.25
01/14/2026,690.36,94676680,691.00,691.72,686.04
01/13/2026,693.77,78309730,695.49,696.09,691.35
01/12/2026,695.16,63976000,690.68,696.09,690.63
01/09/2026,694.07,80125470,690.63,695.31,689.18
01/08/2026,689.51,64019200,688.82,690.615,687.49
01/07/2026,689.58,75588340,692.19,693.96,689.32
01/06/2026,691.81,69273830,687.93,692.315,687.78
01/05/2026,687.72,71927190,686.54,689.43,686.375
01/02/2026,683.17,89377200,685.71,686.87,679.82
12/31/2025,681.92,74144800,687.14,687.36,681.71
12/30/2025,687.01,47160670,687.445,688.555,686.58
12/29/2025,687.85,62559500,687.54,689.20,686.07
12/26/2025,690.31,41613350,690.64,691.66,689.27
12/24/2025,690.38,39445560,687.95,690.83,687.80
12/23/2025,687.96,64839950,683.92,688.20,683.87
12/22/2025,684.83,69556730,683.94,685.36,680.5868
12/19/2025,680.59,103599500,676.59,681.09,676.47
12/18/2025,676.47,108650100,677.60,680.74,674.90
12/17/2025,671.40,110625200,679.89,680.435,671.195
12/16/2025,678.87,122030600,679.23,681.08,674.98
12/15/2025,680.73,90810950,685.74,685.76,679.25
12/12/2025,681.76,113160300,688.17,688.88,679.1744
12/11/2025,689.17,86173680,685.14,689.25,682.165
12/10/2025,687.57,85671330,682.56,688.97,681.31
12/09/2025,683.04,58310060,683.15,685.385,682.59
12/08/2025,683.63,55231460,686.59,686.64,681.57
12/05/2025,685.69,79241050,685.47,688.39,684.58
12/04/2025,684.39,61970340,685.30,685.37,681.34
12/03/2025,683.89,57238480,680.57,684.91,679.69
12/02/2025,681.53,62953840,681.92,683.82,679.3275
12/01/2025,680.27,61201190,678.81,682.99,678.74
11/28/2025,683.39,49212030,680.86,683.665,680.50
11/26/2025,679.68,71879600,677.63,681.70,676.72
11/25/2025,675.02,81077090,668.63,676.21,664.48
